Colección:,Dimensiones:,EAN:,Editorial:,Encuadernación:,Fecha publicación :,ISBN:,Idioma de publicación :,Idioma original :,Ilustrador:,Nº páginas:,País de publicación :,Peso:,Traductor:,autor,materias,titulo,url
4You2, 230 x 150 mm.,9788427047372,Ediciones Martínez Roca, Cartoné,09-06-2020, 978-84-270-4737-2,Español,Español,,224,España,398 gramos,,,Edad de interés: a partir de 8 años,Los Compas y la cámara del tiempo,https://www.todostuslibros.com/libros/los-compas-y-la-camara-del-tiempo_978-84-270-4737-2
EDICIONES B, 230 x 155 mm.,9788466668897,B (Ediciones B), Tapa blanda o Bolsillo,21-01-2021, 978-84-666-6889-7,Español,Español,,240,España,380 gramos,,,a.     e. c.-c. 500 c. e.,El evangelio según María Magdalena,https://www.todostuslibros.com/libros/el-evangelio-segun-maria-magdalena_978-84-666-6889-7
CIRCULO DE TIZA, 215 x 135 mm.,9788412226720,Círculo de Tiza, Tapa blanda o Bolsillo,29-09-2020, 978-84-122267-2-0,Español,Español,,240,España,150 gramos,,,EUROPA,Feria,https://www.todostuslibros.com/libros/feria_978-84-122267-2-0
La Trama, 236 x 161 mm.,9788466668552,B (Ediciones B), Cartoné,07-01-2021, 978-84-666-6855-2,Español,Español,,496,España,,,,Obra de misterio y suspense,El paciente,https://www.todostuslibros.com/libros/el-paciente_978-84-666-6855-2
No Ficción, 230 x 150 mm.,9788408226789,Editorial Planeta, Cartoné,02-06-2020, 978-84-08-22678-9,Español,Español,,688,España,1262 gramos,,La guía más completa y actualizada sobre la salud de tu hijo desde el nacimiento a la adolescencia,Cuidado y crianza de los niños,"El gran libro de Lucía, mi pediatra",https://www.todostuslibros.com/libros/el-gran-libro-de-lucia-mi-pediatra_978-84-08-22678-9
Narrativa, 225 x 138 mm.,9788418107641,SALAMANDRA, Tapa blanda o Bolsillo,04-02-2021, 978-84-18107-64-1,Español,Francés,,240,España,329 gramos,,,Ficción moderna y contemporanea,El baile de las locas,https://www.todostuslibros.com/libros/el-baile-de-las-locas_978-84-18107-64-1
Ensayo, 240 x 160 mm.,9788426407399,LUMEN, Cartoné,11-03-2021, 978-84-264-0739-9,Español,Español,,448,España,,,,c. 2000c. 2010,Notas para unas memorias que nunca escribiré,https://www.todostuslibros.com/libros/notas-para-unas-memorias-que-nunca-escribire_978-84-264-0739-9
Ariel, 230 x 145 mm.,9788434433090,Editorial Ariel, Cartoné,29-10-2020, 978-84-344-3309-0,Español,Español,,544,España,900 gramos,,La geopolítica de la mente,Geografía política,El dominio mental,https://www.todostuslibros.com/libros/el-dominio-mental_978-84-344-3309-0
Anna Kadabra, 200 x 140 mm.,9788408237990,Destino Infantil & Juvenil, Tapa blanda o Bolsillo,03-02-2021, 978-84-08-23799-0,Español,Español,"SIERRA LISTÓN, DAVID",128,España,282 gramos,,,Edad de interés: a partir de 7 años,Anna Kadabra 5. La Isla de las Mascotas,https://www.todostuslibros.com/libros/anna-kadabra-5-la-isla-de-las-mascotas_978-84-08-23799-0
CONTEMPORANEA, 190 x 125 mm.,9788499890944,DEBOLSILLO, Tapa blanda o Bolsillo,26-12-2020, 978-84-9989-094-4,Español,Inglés,,352,España,267 gramos,Miguel Temprano García;,,Ficción clásica,1984 (Edición definitiva. The Orwell Foundation),https://www.todostuslibros.com/libros/1984-edicion-definitiva-the-orwell-foundation_978-84-9989-094-4
VERSO&CUENTO, 215 x 152 mm.,9788403521377,AGUILAR, Tapa blanda o Bolsillo,11-03-2021, 978-84-03-52137-7,Español,Español,,160,España,,,,Cuentos,A través de los ojos,https://www.todostuslibros.com/libros/a-traves-de-los-ojos_978-84-03-52137-7
Catálogos y Ediciones Especiales, 150 x 105 mm.,9788418436369,Siruela, Cartoné,25-11-2020, 978-84-18436-36-9,Español,Español,,64,España,116 gramos,,,Prosa: no ficción,Manifiesto por la lectura,https://www.todostuslibros.com/libros/manifiesto-por-la-lectura_978-84-18436-36-9
BLACKIE LITTLE, 210 x 140 mm.,9788417552442,Blackie Books, Cartoné,18-09-2019, 978-84-17552-44-2,Español,Francés,"Boutavant, Marc",64,España,300 gramos,"Martí, Jan",,Relatos sobre animales (infantil/juvenil),Perro Apestoso,https://www.todostuslibros.com/libros/perro-apestoso_978-84-17552-44-2
DEBOLSILLO, 195 x 134 mm.,9788466342247,DEBOLSILLO, Tapa blanda o Bolsillo,04-02-2021, 978-84-663-4224-7,Español,Hebreo,,496,España,,Joandomènec Ros i Aragonès;,Breve historia del mañana,Didáctica: Ciencias sociales,Homo Deus (edición limitada a precio especial),https://www.todostuslibros.com/libros/homo-deus-edicion-limitada-a-precio-especial_978-84-663-4224-7
Nefelibata, 21 x 14 mm.,9788418128554,Duomo ediciones, Tapa blanda o Bolsillo,03-02-2021, 978-84-18128-55-4,Español,Japonés,"-LVAREZ MARTÍNEZ, GABRIEL",196,España,255 gramos,"Álvarez Martínez, Gabriel",,Ficción moderna y contemporanea,Ella y su gato,https://www.todostuslibros.com/libros/ella-y-su-gato_978-84-18128-55-4
MEDIEVAL / HIGHLANDERS, 215 x 145 mm.,9788408237167,Esencia, Tapa blanda o Bolsillo,10-02-2021, 978-84-08-23716-7,Español,Español,,608,España,596 gramos,,,Ficción histórica,"Las Guerreras Maxwell, 6. Un corazón entre tú y yo",https://www.todostuslibros.com/libros/las-guerreras-maxwell-6-un-corazon-entre-tu-y-yo_978-84-08-23716-7
THE PROMISED NEVERLAND, 175 x 115 mm.,9788467943610,Norma Editorial, No definida.,05-03-2021, 978-84-679-4361-0,Español,Español,,188,España,224 gramos,,,Novelas gráficas: manga,The Promised Neverland 17,https://www.todostuslibros.com/libros/the-promised-neverland-17_978-84-679-4361-0
Áncora & Delfín, 230 x 133 mm.,9788423357543,Ediciones Destino, Cartoné,25-08-2020, 978-84-233-5754-3,Español,Español,,424,España,540 gramos,,,Género policíaco y misterio,El bosque de los cuatro vientos,https://www.todostuslibros.com/libros/el-bosque-de-los-cuatro-vientos_978-84-233-5754-3
HISPÁNICA, 240 x 155 mm.,9788420455600,ALFAGUARA, Tapa blanda o Bolsillo,18-02-2021, 978-84-204-5560-0,Español,Español,,480,España,740 gramos,,,Siglo xx,Volver la vista atrás,https://www.todostuslibros.com/libros/volver-la-vista-atras_978-84-204-5560-0
No Ficción, 230 x 150 mm.,9788408241331,Editorial Planeta, Cartoné,10-02-2021, 978-84-08-24133-1,Español,Español,,352,España,548 gramos,,,Constitución: Gobierno y Estado,Felipe VI. Un rey en la adversidad,https://www.todostuslibros.com/libros/felipe-vi-un-rey-en-la-adversidad_978-84-08-24133-1
Dos amigas, 190 x 125 mm.,9788466344357,DEBOLSILLO, Tapa blanda o Bolsillo,08-11-2018, 978-84-663-4435-7,Español,Italiano,,392,España,400 gramos,Celia Filipetto Isicato;,,Ficción moderna y contemporanea,La amiga estupenda (Dos amigas 1),https://www.todostuslibros.com/libros/la-amiga-estupenda-dos-amigas-1_978-84-663-4435-7
Polica´n, 245 x 160 mm.,9788413189864,EDICIONES SM, Cartoné,04-03-2021, 978-84-1318-986-4,Español,Español,,224,España,552 gramos,"Bastida Calvo, Xohana",,Edad de interés: a partir de 7 años,La camada de los salvajes,https://www.todostuslibros.com/libros/la-camada-de-los-salvajes_978-84-1318-986-4
Especial Enero Febrero 2021, 190 x 125 mm.,9788408238119,Booket, Tapa blanda o Bolsillo,03-02-2021, 978-84-08-23811-9,Español,Español,,352,España,256 gramos,,,Narrativa romántica adulta y contemporánea,Todo lo que nunca fuimos,https://www.todostuslibros.com/libros/todo-lo-que-nunca-fuimos_978-84-08-23811-9
Planeta Cocina, 255 x 190 mm.,9788408234555,Editorial Planeta, Cartoné,10-11-2020, 978-84-08-23455-5,Español,Español,,704,España,2214 gramos,,900 recetas que siempre salen bien,Cocina por ingredientes,La buena cocina,https://www.todostuslibros.com/libros/la-buena-cocina_978-84-08-23455-5
